POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
DEPARTEMENT DE PIKINE,591827,578964,1170791,609987,596729,1206716,628330,614673,1243003,646945,632884,1279829,665797,651326,1317123,684855,669970,1354825,704089,688786,1392876,723470,707746,1431216,742965,726817,1469782,762559,745986,1508545,782248,765246,1547495,802025,784594,1586619,821884,804021,1625905
ARRONDISSEMENT NIAYES,251483,247635,499118,259200,255234,514433,266994,262909,529903,274904,270698,545602,282915,278586,561501,291013,286561,577573,299186,294609,593795,307422,302718,610139,315705,310875,626580,324031,319074,643105,332398,327312,659710,340802,335588,676389,349240,343897,693137
CA. YEUMBEUL NORD,85 114,83 264,168379,87726,85819,173546,90364,88400,178764,93041,91019,184061,95753,93671,189424,98493,96352,194846,101260,99058,200318,104047,101785,205832,106851,104528,211379,109669,107285,216954,112500,110055,222555,115344,112837,228182,118200,115631,233832
CA. YEUMBEUL SUD,49 383,47 573,96956,50898,49033,99931,52429,50507,102936,53982,52004,105986,55555,53519,109074,57145,55051,112196,58750,56597,115347,60367,58155,118522,61994,59722,121716,63629,61297,124926,65272,62880,128152,66922,64469,131392,68579,66066,134645
CA. MALIKA,16 035,16 096,32130,16527,16590,33116,17024,17089,34112,17528,17595,35122,18039,18107,36146,18555,18626,37180,19076,19149,38225,19601,19676,39277,20130,20206,40335,20660,20739,41399,21194,21275,42468,21730,21812,43542,22268,22353,44620
CA. KEUR MASSAR,100 951,100 703,201653,104048,103793,207841,107177,106914,214091,110353,110081,220433,113568,113289,226857,116819,116532,233350,120100,119805,239904,123406,123102,246508,126731,126419,253150,130073,129754,259827,133432,133104,266535,136805,136469,273274,140193,139848,280040
ARRONDISSEMENT PIKINE DAGOUDA,166648,162026,328673,171761,166997,338758,176926,172019,348945,182168,177115,359283,187476,182276,369752,192842,187494,380336,198259,192760,391018,203716,198066,401781,209205,203403,412608,214723,208767,423490,220267,214158,434424,225836,219572,445407,231427,225009,456436
CA. PIKINE OUEST,25 896,26 258,52154,26691,27064,53754,27494,27877,55371,28308,28703,57011,29133,29540,58672,29967,30385,60352,30809,31239,62047,31657,32098,63755,32510,32963,65473,33367,33833,67200,34229,34706,68935,35094,35584,70677,35963,36465,72427
CA. PIKINE EST,16 363,16 088,32452,16866,16582,33448,17373,17081,34454,17887,17587,35474,18409,18099,36508,18936,18617,37553,19467,19140,38608,20003,19667,39670,20542,20197,40739,21084,20730,41814,21628,21265,42893,22175,21803,43978,22724,22342,45067
CA. PIKINE SUD,23 307,23 473,46780,24022,24194,48215,24745,24921,49665,25478,25660,51137,26220,26407,52627,26971,27163,54133,27728,27926,55654,28491,28695,57186,29259,29468,58726,30031,30245,60275,30806,31026,61832,31585,31811,63395,32367,32598,64964
