POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
CR. BADION,6 504,6 080,12584,6 703,6 266,12 968,6 910,6 460,13 369,7 125,6 661,13 785,7 348,6 870,14 218,7 580,7 087,14 666,7 821,7 311,15 132,8 071,7 545,15 615,8 329,7 787,16 115,8 597,8 037,16 634,8 875,8 297,17 172,9 163,8 566,17 729,9 461,8 845,18 305
ARRONDISSEMENT NDORNA,25 912,25 194,51106,26 703,25 963,52 667,27 528,26 765,54 294,28 385,27 599,55 984,29 276,28 465,57 740,30 200,29 363,59 563,31 158,30 295,61 453,32 153,31 262,63 414,33 183,32 264,65 447,34 252,33 302,67 554,35 359,34 379,69 738,36 506,35 494,72 000,37 693,36 648,74 341
CR. NDORNA,6 385,5 846,12231,6 580,6 024,12 605,6 783,6 210,12 994,6 995,6 404,13 399,7 214,6 605,13 819,7 442,6 813,14 255,7 678,7 029,14 707,7 923,7 254,15 177,8 177,7 486,15 663,8 440,7 727,16 167,8 713,7 977,16 690,8 995,8 236,17 231,9 288,8 503,17 792
CR. BIGNARABE,3 479,3 295,6774,3 585,3 396,6 981,3 696,3 501,7 197,3 811,3 610,7 421,3 931,3 723,7 653,4 055,3 840,7 895,4 183,3 962,8 146,4 317,4 089,8 405,4 455,4 220,8 675,4 599,4 356,8 954,4 747,4 496,9 244,4 901,4 642,9 543,5 061,4 793,9 854
CR. BOUROUCO,12 620,12 622,25242,13 005,13 008,26 013,13 407,13 410,26 816,13 825,13 827,27 651,14 258,14 261,28 519,14 708,14 711,29 419,15 175,15 178,30 353,15 659,15 662,31 321,16 161,16 164,32 325,16 682,16 685,33 366,17 221,17 224,34 444,17 779,17 783,35 562,18 358,18 361,36 718
CR. KOULINTO,3 428,3 431,6859,3 533,3 536,7 068,3 642,3 645,7 287,3 756,3 759,7 514,3 874,3 877,7 749,3 996,3 999,7 994,4 123,4 126,8 248,4 254,4 258,8 511,4 391,4 394,8 784,4 532,4 536,9 067,4 678,4 682,9 360,4 830,4 834,9 663,4 987,4 991,9 977
ARRONDISSEMENT NIAMING,30 671,30 537,61 208,31 608,31 470,63 077,32 584,32 442,65 026,33 599,33 452,67 051,34 653,34 501,69 154,35 746,35 590,71 336,36 881,36 720,73 601,38 058,37 891,75 949,39 278,39 106,78 384,40 542,40 365,80 907,41 853,41 670,83 523,43 210,43 021,86 232,44 615,44 420,89 036
CR. DINGUIRAYE,7 545,7 121,14665,7 775,7 338,15 113,8 015,7 565,15 580,8 265,7 800,16 065,8 524,8 045,16 569,8 793,8 299,17 092,9 072,8 562,17 634,9 362,8 835,18 197,9 662,9 119,18 780,9 973,9 412,19 385,10 295,9 716,20 011,10 629,10 032,20 661,10 975,10 358,21 332
CR. KEREWANE,16 254,16 549,32803,16 750,17 054,33 805,17 268,17 581,34 849,17 806,18 128,35 934,18 364,18 697,37 061,18 944,19 287,38 231,19 545,19 899,39 445,20 169,20 534,40 703,20 815,21 193,42 008,21 485,21 875,43 360,22 180,22 582,44 762,22 899,23 314,46 214,23 644,24 073,47 717
CR. NIAMING,6 872,6 868,13740,7 082,7 078,14 160,7 301,7 296,14 597,7 528,7 523,15 052,7 764,7 759,15 524,8 009,8 004,16 014,8 263,8 258,16 522,8 527,8 522,17 049,8 801,8 795,17 596,9 084,9 078,18 162,9 377,9 372,18 749,9 682,9 676,19 357,9 996,9 990,19 987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION DE LOUGA,433716,440477,874193,446127,452605,898732,458932,465118,924050,472101,478001,950102,485632,491253,976885,499526,504875,1004401,513780,518865,1032645,528389,533218,1061607,543348,547920,1091268,558654,562965,1121619,574301,578349,1152650,590284,594067,1184351,606595,610112,1216707
ZONE URBAINE,92013,97669,189682,99486,100931,200417,103719,105117,208836,108111,109462,217573,112181,113479,225660,116889,118141,235030,121766,122971,244737,126813,127972,254785,132034,133144,265178,137429,138489,275918,142427,143431,285858,148161,149111,297272,154075,154968,309043
ZONE RURALE,341 703,342 808,684 511,346640,351674,698314,355213,360002,715215,363990,368538,732528,373451,377774,751225,382637,386734,769371,392014,395894,787908,401575,405246,806821,411315,414775,826090,421225,424475,845700,431874,434919,866793,442123,444956,887079,452520,455143,907663
DEPARTEMENT KEBEMER,129039,130044,259083,132661,133694,266356,136398,137461,273859,140244,141336,281580,144197,145320,289518,148259,149414,297673,152428,153615,306043,156703,157924,314627,161081,162336,323417,165561,166851,332412,170142,171467,341609,174821,176183,351004,179597,180996,360593
COM. KEBEMER,9 604,10 298,19902,9873,10587,20461,10152,10885,21037,10438,11192,21630,10732,11508,22240,11034,11832,22866,11345,12165,23509,11663,12506,24169,11989,12855,24844,12322,13213,25535,12663,13578,26241,13011,13952,26963,13367,14333,27700
COM. GUEOUL,3 751,4 253,8003,3856,4372,8228,3965,4495,8459,4076,4622,8698,4191,4752,8943,4309,4886,9195,4431,5023,9454,4555,5164,9719,4682,5309,9990,4812,5456,10268,4946,5607,10552,5082,5761,10842,5220,5919,11139
ARRONDISSEMENT DAROU MOUSTY,42212,40662,82874,43397,41803,85200,44619,42981,87600,45877,44193,90070,47171,45439,92609,48499,46718,95218,49863,48032,97895,51262,49379,100641,52694,50759,103453,54159,52171,106330,55658,53614,109272,57189,55089,112277,58751,56594,115345
CR. DAROU MARNANE,5 996,5 887,11883,6164,6052,12217,6338,6223,12561,6517,6398,12915,6700,6579,13279,6889,6764,13653,7083,6954,14037,7282,7149,14431,7485,7349,14834,7693,7553,15246,7906,7762,15668,8123,7976,16099,8345,8194,16539
CR. DAROU MOUSTY,18 802,19 380,38183,19330,19924,39255,19875,20485,40361,20435,21063,41499,21011,21657,42668,21603,22267,43870,22210,22893,45104,22833,23535,46369,23471,24193,47664,24124,24865,48990,24792,25553,50345,25473,26256,51730,26169,26973,53143
CR. MBADIANE,4 927,3 980,8907,5065,4091,9157,5208,4207,9415,5355,4325,9680,5506,4447,9953,5661,4572,10234,5820,4701,10521,5983,4833,10817,6151,4968,11119,6322,5106,11428,6497,5247,11744,6675,5392,12067,6858,5539,12397
CR. NDOYENE,2 924,2 817,5741,3006,2896,5902,3091,2977,6068,3178,3061,6240,3267,3147,6415,3359,3236,6596,3454,3327,6782,3551,3420,6972,3650,3516,7167,3751,3614,7366,3855,3714,7570,3961,3816,7778,4069,3920,7990
CR. SAM YABAL,3 044,2 618,5663,3130,2692,5822,3218,2768,5986,3309,2846,6155,3402,2926,6328,3498,3008,6506,3596,3093,6689,3697,3180,6877,3800,3269,7069,3906,3360,7266,4014,3452,7467,4124,3547,7672,4237,3644,7882
CR. TOUBA MERINA,3 669,3 395,7065,3772,3491,7263,3878,3589,7468,3988,3690,7678,4100,3794,7895,4216,3901,8117,4334,4011,8346,4456,4123,8580,4580,4239,8819,4708,4356,9065,4838,4477,9315,4971,4600,9572,5107,4726,9833
CR. MBACKE CADIOR,2 849,2 585,5434,2929,2658,5587,3012,2732,5744,3097,2810,5906,3184,2889,6072,3274,2970,6243,3366,3054,6419,3460,3139,6599,3557,3227,6783,3656,3317,6972,3757,3408,7165,3860,3502,7362,3966,3598,7563
ARRONDISSEMENT NDANDE,40309,41614,81923,41440,42782,84223,42608,43987,86595,43809,45227,89037,45044,46502,91547,46313,47812,94125,47615,49157,96772,48951,50535,99486,50318,51947,102266,51718,53392,105110,53149,54869,108018,54610,56378,110989,56102,57919,114021
CR. BADEGNE OUOLOF,7 935,7 923,15859,8158,8146,16304,8388,8375,16763,8624,8611,17236,8867,8854,17722,9117,9104,18221,9374,9360,18734,9636,9622,19259,9906,9891,19797,10181,10166,20348,10463,10447,20911,10751,10735,21486,11044,11028,22073
CR. DIOKOUL DIAWRIGNE,7 862,7 992,15854,8083,8216,16299,8311,8448,16758,8545,8686,17231,8786,8931,17716,9033,9182,18215,9287,9441,18728,9548,9705,19253,9815,9977,19791,10088,10254,20341,10367,10538,20904,10652,10828,21479,10943,11123,22066
CR. KAB GAYE,5 658,5 614,11272,5817,5772,11588,5981,5935,11915,6149,6102,12251,6323,6274,12596,6501,6451,12951,6683,6632,13315,6871,6818,13689,7063,7008,14071,7259,7203,14462,7460,7403,14862,7665,7606,15271,7875,7814,15688
CR. NDANDE,11 167,12 815,23983,11480,13175,24656,11804,13546,25351,12136,13928,26066,12479,14321,26800,12830,14724,27555,13191,15138,28330,13561,15563,29125,13940,15998,29938,14327,16443,30771,14724,16898,31622,15129,17362,32492,15542,17837,33380
CR. THIEPPE,7 687,7 269,14956,7903,7473,15376,8125,7683,15809,8354,7900,16255,8590,8123,16713,8832,8352,17184,9080,8586,17667,9335,8827,18162,9596,9074,18670,9862,9326,19189,10135,9584,19720,10414,9848,20262,10699,10117,20816
ARRONDISSEMENT SAGATTA GUETH,33163,33217,66380,34094,34149,68243,35054,35111,70166,36043,36101,72144,37059,37119,74178,38103,38165,76267,39174,39238,78412,40273,40338,80611,41398,41465,82863,42549,42619,85168,43726,43798,87524,44929,45002,89931,46156,46232,92388
CR. KANENE NDIOB,4 646,4 672,9318,4777,4803,9580,4911,4939,9849,5050,5078,10127,5192,5221,10413,5338,5368,10706,5488,5519,11007,5642,5674,11316,5800,5832,11632,5961,5995,11955,6126,6161,12286,6295,6330,12624,6467,6503,12969
CR. LORO,4 157,4 080,8236,4273,4194,8467,4394,4312,8706,4518,4434,8951,4645,4559,9203,4776,4687,9463,4910,4819,9729,5048,4954,10002,5189,5093,10281,5333,5234,10567,5481,5379,10859,5631,5527,11158,5785,5678,11463
CR. SAGATTA GUETH,7 756,7 229,14986,7974,7432,15407,8199,7642,15841,8430,7857,16287,8667,8079,16746,8911,8306,17218,9162,8540,17702,9419,8779,18199,9682,9024,18707,9951,9275,19228,10227,9532,19759,10508,9794,20303,10795,10062,20858
CR. THIOLOM FALL,11 934,12 265,24199,12269,12609,24878,12614,12964,25579,12970,13330,26300,13335,13706,27042,13711,14092,27803,14097,14488,28585,14492,14894,29387,14897,15310,30208,15311,15736,31048,15735,16172,31907,16168,16616,32785,16609,17070,33680
CR. NGOURANE OUOLOF,4 671,4 971,9642,4802,5111,9913,4937,5255,10192,5076,5403,10479,5219,5555,10775,5366,5712,11078,5517,5872,11390,5672,6037,11709,5831,6206,12036,5993,6378,12371,6159,6555,12713,6328,6735,13063,6501,6919,13420
DEPARTEMENT LINGUERE,121860,120038,241898,125281,123408,248688,128810,126884,255694,132441,130461,262903,136175,134139,270314,140011,137917,277928,143948,141796,285743,147985,145772,293757,152120,149845,301965,156350,154013,310363,160676,158274,318950,165095,162627,327722,169605,167070,336675
COM. LINGUERE,7 672,7 810,15482,7887,8029,15917,8110,8255,16365,8338,8488,16826,8573,8727,17301,8815,8973,17788,9063,9225,18288,9317,9484,18801,9577,9749,19326,9843,10020,19864,10116,10297,20413,10394,10581,20975,10678,10870,21548
COM. DAHRA,16 392,16 549,32941,16852,17013,33866,17327,17492,34820,17815,17986,35801,18317,18493,36811,18833,19014,37847,19363,19548,38912,19906,20096,40003,20462,20658,41121,21031,21232,42264,21613,21820,43434,22208,22420,44628,22814,23033,45847
COM. MBEULEUKHE,726,784,1510,746,806,1552,767,829,1596,789,852,1641,811,876,1687,834,901,1735,857,926,1784,881,952,1834,906,979,1885,931,1006,1937,957,1034,1991,983,1062,2046,1010,1091,2102
ARRONDISSEMENT BARKEDJI,29474,28125,57599,30301,28914,59216,31155,29729,60884,32033,30567,62601,32936,31429,64365,33864,32314,66178,34816,33223,68039,35793,34155,69947,36793,35109,71902,37816,36085,73901,38862,37084,75946,39931,38104,78035,41022,39145,80167
CR. BARKEDJI,9 140,8 985,18125,9396,9238,18634,9661,9498,19159,9933,9766,19699,10214,10041,20254,10501,10324,20825,10796,10614,21410,11099,10912,22011,11409,11216,22626,11727,11528,23255,12051,11847,23898,12383,12173,24556,12721,12506,25226
CR. GASSANE,8 535,7 614,16150,8775,7828,16603,9022,8049,17071,9276,8276,17552,9538,8509,18047,9807,8749,18555,10082,8995,19077,10365,9247,19612,10655,9505,20160,10951,9770,20721,11254,10040,21294,11564,10316,21880,11880,10598,22478
CR. THIARGNY,4 661,4 638,9298,4791,4768,9559,4926,4902,9828,5065,5040,10105,5208,5182,10390,5355,5328,10683,5505,5478,10983,5660,5632,11291,5818,5789,11607,5980,5950,11930,6145,6115,12260,6314,6283,12597,6487,6455,12941
CR. THIEL,7 138,6 888,14026,7339,7081,14420,7545,7281,14826,7758,7486,15244,7977,7697,15674,8202,7914,16115,8432,8136,16568,8669,8364,17033,8911,8598,17509,9159,8837,17996,9412,9082,18494,9671,9332,19002,9935,9586,19521
ARRONDISSEMENT DODJI,18229,18775,37004,18741,19302,38043,19269,19846,39114,19812,20405,40217,20370,20981,41351,20944,21571,42516,21533,22178,43711,22137,22800,44937,22756,23437,46193,23388,24089,47477,24035,24755,48791,24697,25436,50133,25371,26131,51502
CR. DODJI,6 675,6 904,13578,6862,7097,13959,7056,7297,14352,7254,7503,14757,7459,7714,15173,7669,7932,15600,7885,8155,16039,8106,8384,16489,8332,8618,16950,8564,8857,17421,8801,9103,17903,9043,9353,18395,9290,9608,18898
CR. LABGAR,3 339,3 536,6875,3433,3635,7068,3529,3737,7267,3629,3843,7472,3731,3951,7683,3836,4062,7899,3944,4176,8121,4055,4293,8349,4168,4413,8582,4284,4536,8821,4403,4662,9065,4524,4790,9314,4647,4921,9569
CR. OUARKHOH,8 215,8 336,16551,8446,8570,17016,8683,8811,17495,8928,9060,17988,9180,9315,18495,9439,9578,19016,9704,9847,19551,9976,10123,20099,10255,10406,20661,10540,10695,21235,10832,10991,21823,11130,11293,22423,11434,11602,23036
ARRONDISSEMENT YANG YANG,16358,16301,32659,16817,16759,33576,17291,17231,34522,17778,17716,35495,18280,18216,36495,18794,18729,37523,19323,19256,38579,19865,19796,39661,20420,20349,40769,20988,20915,41903,21569,21493,43062,22162,22084,44246,22767,22688,45455
CR. KAMB,5 563,5 347,10910,5719,5497,11216,5880,5652,11532,6046,5811,11857,6216,5975,12192,6391,6143,12535,6571,6316,12887,6755,6493,13249,6944,6675,13619,7137,6860,13998,7335,7050,14385,7536,7244,14781,7742,7442,15185
CR. MBOULA,3 953,3 909,7862,4064,4019,8083,4179,4132,8310,4296,4249,8545,4417,4368,8786,4542,4491,9033,4670,4618,9287,4801,4747,9547,4935,4880,9814,5072,5016,10087,5212,5154,10366,5356,5296,10651,5502,5441,10942
CR. TESSEKRE FORAGE,4 392,4 607,8999,4515,4736,9252,4642,4870,9512,4773,5007,9780,4907,5148,10056,5046,5293,10339,5187,5442,10630,5333,5595,10928,5482,5751,11234,5634,5911,11546,5790,6074,11865,5950,6242,12192,6112,6412,12525
CR. YANG YANG,2 450,2 438,4888,2519,2506,5025,2590,2577,5167,2663,2649,5312,2738,2724,5462,2815,2801,5616,2894,2880,5774,2976,2960,5936,3059,3043,6102,3144,3128,6271,3231,3214,6445,3320,3303,6622,3410,3393,6803
ARRONDISSEMENT SAGATTA DJOLO,33009,31695,64704,33936,32585,66520,34892,33503,68394,35875,34447,70322,36887,35418,72305,37926,36416,74341,38992,37440,76432,40086,38490,78576,41206,39565,80771,42352,40666,83017,43523,41791,85314,44720,42940,87661,45942,44113,90055
CR. BOULAL,6 187,6 184,12371,6361,6357,12718,6540,6536,13077,6724,6721,13445,6914,6910,13824,7109,7105,14214,7308,7304,14613,7513,7509,15023,7723,7719,15443,7938,7934,15872,8158,8153,16312,8382,8377,16760,8611,8606,17218
CR. DEALI,9 559,7 962,17521,9828,8185,18013,10105,8416,18520,10390,8653,19042,10682,8897,19579,10983,9148,20131,11292,9405,20697,11609,9669,21277,11933,9939,21872,12265,10215,22480,12604,10498,23102,12951,10787,23737,13305,11082,24386
CR. SAGATTA DJOLOF,5 168,5 369,10537,5313,5520,10833,5463,5675,11138,5617,5835,11452,5775,6000,11775,5938,6169,12106,6105,6342,12447,6276,6520,12796,6451,6702,13153,6631,6889,13519,6814,7079,13893,7001,7274,14275,7193,7473,14665
CR. THIAMENE DJOLOF,9 304,9 285,18589,9565,9545,19111,9835,9814,19649,10112,10091,20203,10397,10375,20773,10690,10667,21358,10991,10967,21958,11299,11275,22574,11614,11590,23205,11937,11912,23850,12268,12242,24510,12605,12579,25184,12949,12922,25872
CR. AFFE DJOLOFF,2 790,2 895,5686,2868,2977,5846,2949,3061,6010,3032,3147,6180,3118,3236,6354,3206,3327,6533,3296,3420,6717,3388,3516,6905,3483,3614,7098,3580,3715,7295,3679,3818,7497,3780,3923,7703,3883,4030,7914
DEPARTEMENT LOUGA,182817,190395,373212,187949,195739,383688,193243,201254,394497,198692,206928,405619,204293,212761,417053,210047,218754,428801,215954,224905,440859,222010,231213,453223,228213,237673,465886,234560,244283,478844,241050,251042,492091,247679,257946,505625,254446,264993,519439
COM. LOUGA,50 353,53 996,104349,51767,55511,107278,53225,57075,110300,54725,58684,113410,56268,60339,116607,57853,62038,119891,59480,63783,123263,61148,65572,126720,62856,67404,130260,64605,69278,133883,66392,71195,137587,68218,73153,141371,70082,75152,145234
COM. NDIAGNE,3 516,3 980,7496,3615,4092,7706,3716,4207,7924,3821,4326,8147,3929,4448,8377,4040,4573,8613,4153,4701,8855,4270,4833,9103,4389,4968,9357,4511,5107,9618,4636,5248,9884,4763,5392,10156,4893,5539,10433
ARRONDISSEMENT COKI,29538,26412,55950,30367,27153,57521,31223,27918,59141,32103,28705,60808,33008,29515,62522,33938,30346,64284,34892,31199,66091,35871,32074,67945,36873,32970,69843,37898,33887,71786,38947,34825,73772,40018,35783,75801,41111,36760,77872
CR. COKI,14 008,11 290,25298,14401,11607,26008,14807,11934,26741,15224,12271,27495,15653,12617,28270,16094,12972,29066,16547,13337,29883,17011,13711,30722,17486,14094,31580,17972,14486,32458,18470,14887,33356,18978,15296,34274,19496,15714,35210
CR. PETE OUARACK,2 261,2 577,4837,2324,2649,4973,2390,2724,5113,2457,2800,5257,2526,2879,5405,2597,2960,5557,2670,3044,5714,2745,3129,5874,2822,3216,6038,2901,3306,6206,2981,3397,6378,3063,3491,6553,3146,3586,6732
CR. THIAMENE CAYOR,8 805,8 374,17179,9052,8609,17661,9307,8851,18159,9569,9101,18671,9839,9358,19197,10116,9621,19738,10401,9892,20293,10693,10169,20862,10991,10453,21445,11297,10744,22041,11609,11041,22651,11929,11345,23274,12255,11655,23910
CR. GUET ARDO,4 464,4 171,8635,4590,4288,8877,4719,4409,9127,4852,4533,9385,4989,4661,9649,5129,4792,9921,5273,4927,10200,5421,5065,10486,5573,5207,10779,5728,5351,11079,5886,5500,11386,6048,5651,11699,6213,5805,12018
ARRONDISSEMENT K EUR MOMAR SA,36819,38833,75652,37853,39923,77776,38919,41048,79967,40016,42205,82221,41144,43395,84539,42303,44617,86920,43493,45872,89364,44712,47158,91871,45962,48476,94438,47240,49824,97064,48547,51202,99749,49882,52611,102493,51245,54048,105293
CR. GANDE,8 072,8 441,16513,8298,8678,16977,8532,8923,17455,8773,9174,17947,9020,9433,18453,9274,9699,18973,9535,9972,19506,9802,10251,20053,10076,10538,20613,10356,10831,21187,10643,11130,21773,10935,11436,22372,11234,11749,22983
CR. K.MOMAR SARR,13 843,13 674,27517,14232,14057,28289,14633,14453,29086,15045,14861,29906,15469,15280,30749,15905,15710,31616,16352,16152,32505,16811,16605,33416,17281,17069,34350,17761,17544,35305,18253,18029,36282,18755,18525,37280,19267,19031,38298
CR. NGUER MALAL,11 293,13 225,24518,11610,13596,25206,11937,13979,25916,12274,14373,26647,12620,14778,27398,12975,15195,28170,13340,15622,28962,13714,16060,29774,14097,16509,30606,14490,16968,31457,14890,17437,32328,15300,17917,33217,15718,18406,34124
CR. SYER,3 611,3 493,7104,3712,3591,7303,3817,3692,7509,3924,3797,7721,4035,3904,7939,4148,4014,8162,4265,4126,8392,4385,4242,8627,4507,4361,8868,4633,4482,9115,4761,4606,9367,4892,4733,9624,5025,4862,9887
ARRONDISSEMENT MBEDIENE,28048,30018,58066,28835,30861,59696,29648,31730,61378,30483,32625,63108,31343,33544,64887,32226,34489,66715,33132,35459,68591,34061,36453,70514,35013,37472,72485,35987,38514,74501,36982,39580,76562,37999,40668,78667,39037,41779,80817
CR. KELLE GUEYE,4 929,5 163,10091,5067,5308,10374,5210,5457,10667,5357,5611,10967,5508,5769,11276,5663,5932,11594,5822,6099,11920,5985,6270,12254,6153,6445,12597,6324,6624,12947,6499,6807,13305,6677,6994,13671,6860,7186,14045
CR. MBEDIENE,6 441,6 001,12442,6622,6169,12791,6809,6343,13152,7001,6522,13522,7198,6705,13904,7401,6894,14295,7609,7088,14697,7822,7287,15109,8041,7491,15532,8265,7699,15964,8493,7912,16405,8727,8129,16856,8965,8352,17317
CR. NGUIDILE,9 248,10 462,19710,9508,10756,20263,9776,11059,20834,10051,11371,21421,10335,11691,22025,10626,12020,22646,10924,12358,23283,11231,12705,23936,11545,13060,24604,11866,13423,25289,12194,13795,25988,12529,14174,26703,12872,14561,27432
CR. NIOMRE,7 429,8 393,15822,7638,8629,16266,7853,8872,16724,8074,9122,17196,8302,9379,17681,8536,9643,18179,8776,9914,18690,9022,10192,19214,9274,10477,19751,9532,10768,20300,9796,11066,20862,10065,11371,21436,10340,11681,22021
AR.RONDISSEMENT SAKAL,34543,37156,71699,35513,38199,73712,36513,39275,75788,37542,40382,77925,38601,41521,80122,39688,42690,82378,40804,43891,84695,41949,45122,87070,43121,46382,89503,44320,47672,91992,45546,48991,94537,46799,50339,97137,48077,51714,99791
CR. LEONA,16 386,16 402,32788,16846,16862,33708,17320,17337,34658,17808,17826,35635,18310,18329,36640,18826,18845,37672,19356,19375,38731,19898,19918,39817,20454,20475,40930,21023,21044,42068,21605,21626,43232,22199,22221,44421,22806,22828,45635
CR. NGUEUNE SARR,6 533,7 342,13874,6716,7548,14263,6905,7760,14665,7100,7979,15079,7300,8204,15504,7506,8435,15940,7717,8672,16389,7933,8915,16848,8155,9165,17319,8382,9419,17801,8614,9680,18293,8851,9946,18796,9092,10218,19310
CR. SAKAL,11 625,13 412,25037,11951,13789,25740,12288,14177,26465,12634,14577,27211,12990,14988,27978,13356,15410,28766,13732,15843,29575,14117,16288,30405,14511,16743,31254,14915,17208,32123,15328,17684,33012,15749,18171,33920,16179,18667,34847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION MATAM,276481,286058,562539,287589,296935,584524,299061,308168,607229,310921,319782,630703,323187,331794,654981,335866,344220,680086,348967,357070,706037,362505,370361,732866,376490,384098,760588,390932,398287,789219,405841,412935,818776,421222,428051,849273,437082,443639,880721
ZONE URBAINE,61176,58608,119784,65858,67998,133856,70578,72728,143306,75865,78027,153892,81443,83612,165055,86989,89153,176142,93174,95338,188512,99326,101479,200805,106170,108316,214486,113370,115503,228873,120535,122642,243177,128473,130556,259029,136807,138859,275666
ZONE RURALE,215 305,227 450,442 755,221731,228937,450668,228482,235440,463922,235056,241755,476811,241744,248182,489926,248877,255067,503944,255793,261732,517525,263179,268882,532061,270320,275783,546103,277562,282784,560346,285306,290294,575600,292750,297495,590245,300275,304780,605055
DEPARTEMENT MATAM,134141,138480,272621,139383,143892,283276,144798,149481,294279,150395,155260,305655,156184,161236,317421,162171,167416,329587,168359,173805,342164,174757,180409,355166,181367,187234,368601,188194,194282,382476,195242,201558,396800,202515,209065,411580,210014,216807,426820
COM .MATAM,9 159,8 059,17218,9517,8374,17891,9886,8700,18586,10269,9036,19304,10664,9384,20047,11073,9743,20816,11495,10115,21610,11932,10500,22431,12383,10897,23280,12850,11307,24156,13331,11730,25061,13827,12167,25994,14339,12618,26957
COM. OUROSSOGUI,8 388,7 266,15654,8716,7550,16266,9054,7844,16898,9404,8147,17551,9766,8460,18226,10141,8785,18925,10528,9120,19647,10928,9466,20394,11341,9825,21165,11768,10194,21962,12209,10576,22784,12663,10970,23633,13132,11376,24508
COM. THILOGNE,5 293,5 148,10441,5500,5349,10849,5714,5557,11270,5935,5772,11706,6163,5994,12157,6399,6224,12623,6643,6461,13104,6896,6707,13602,7157,6960,14117,7426,7222,14648,7704,7493,15197,7991,7772,15763,8287,8060,16347
COM. NGUIDILOGNE,5 301,5 143,10444,5508,5344,10852,5722,5551,11274,5943,5766,11710,6172,5988,12160,6409,6218,12626,6653,6455,13108,6906,6700,13606,7167,6954,14121,7437,7215,14653,7716,7486,15201,8003,7764,15767,8299,8052,16351
ARRONDISSEMENT AGNAM-CIVOL,33326,35292,68618,34628,36671,71300,35974,38096,74069,37364,39568,76933,38802,41092,79894,40290,42667,82956,41827,44295,86122,43417,45978,89394,45059,47717,92776,46755,49513,96268,48506,51368,99874,50313,53281,103594,52176,55254,107430
CR. AGNAM-CIVOL,12 746,13 575,26321,13244,14105,27350,13759,14653,28412,14290,15220,29510,14841,15805,30646,15409,16411,31821,15997,17037,33035,16605,17685,34291,17233,18354,35588,17882,19045,36927,18552,19758,38310,19243,20494,39737,19955,21253,41209
CR. OREFONDE,9 260,9 916,19175,9622,10303,19924,9995,10703,20698,10382,11117,21498,10781,11545,22326,11194,11988,23182,11622,12445,24066,12063,12918,24981,12520,13407,25926,12991,13911,26902,13477,14432,27909,13979,14970,28949,14497,15524,30021
CR. DABIA,11 320,11 802,23121,11762,12263,24025,12219,12739,24958,12692,13232,25923,13180,13741,26920,13685,14268,27952,14207,14812,29019,14747,15375,30122,15305,15957,31261,15881,16557,32438,16476,17177,33653,17090,17817,34906,17723,18477,36199
